name,source,gender,wikidata,type
"16 Aprillaan",wikidata,-,Q4059200,way
Aalborgweg,wikidata,-,Q25410,way
Aalscholver,wikidata,-,Q25440,way
Aarhusweg,wikidata,-,Q25319,way
Acacialaan,wikidata,-,Q81666,way
Agaatstraat,wikidata,-,Q123314,way
Agunnarydweg,wikidata,-,Q3274133,way
Akeleiweg,wikidata,-,Q147641,way
Akkerstraat,wikidata,-,Q188869,way
Aldebaranstraat,wikidata,-,Q12170,way
Algollaan,wikidata,-,Q13080,way
Aluminiumstraat,wikidata,-,Q663,way
Ambonstraat,wikidata,-,Q219608;Q18970,way
Amethiststraat,wikidata,-,Q79058,way
Amstelstraat,wikidata,-,Q185405,way
Andromedastraat,wikidata,-,Q9256,way
Anemoonstraat,wikidata,-,Q158286,way
Anjelierstraat,wikidata,-,Q156099,way
Anker,wikidata,-,Q168432,way
Antaresstraat,wikidata,-,Q12166,way
Antillenstraat,wikidata,-,Q25227,way
Antwerpenweg,wikidata,-,Q12892,way
Aquamarijnpad,wikidata,-,Q58959,way
Aquamarijnstraat,wikidata,-,Q58959,way
Arduinlaan,wikidata,-,Q325173,way
Arendalweg,wikidata,-,Q2699921,way
Arubastraat,wikidata,-,Q21203,way
Arwerd,wikidata,-,Q3497773;Q2253511,way
Asterstraat,wikidata,-,Q517130,way
Astraat,wikidata,-,Q2238502,way
Atjehstraat,wikidata,-,Q1823,way
Atoomweg,wikidata,-,Q9121,way
Avondsterlaan,wikidata,-,Q313,way
Aweg,wikidata,-,Q2238502,way
Azaleapad,wikidata,-,Q5986917,way
Bakboordswal,wikidata,-,Q11723008,way
Baken,wikidata,-,Q7321258,way
Balistraat,wikidata,-,Q4648,way
Bandoengstraat,wikidata,-,Q10389,way
Barkstraat,wikidata,-,Q216057,way
Barnsteenstraat,wikidata,-,Q25381,way
Basaltstraat,wikidata,-,Q43338,way
Bastion,wikidata,-,Q81851,way
Bataviastraat,wikidata,-,Q3630;Q1199713,way
Bedumerstraat,wikidata,-,Q2690942;Q461142,way
Bedumerweg,wikidata,-,Q2690942;Q461142,way
Begoniastraat,wikidata,-,Q158617,way
Beijumerweg,wikidata,-,Q2145452,way
Beneluxweg,wikidata,-,Q13116,way
Berberisstraat,wikidata,-,Q158503,way
Bergenweg,wikidata,-,Q26793,way
Bergkristalstraat,wikidata,-,Q2050687,way
Berilstraat,wikidata,-,Q103480,way
Berkelstraat,wikidata,-,Q707763,way
Berkenlaan,wikidata,-,Q25243,way
Bernoulliplein,wikidata,-,Q826719,way
Beswerd,wikidata,-,Q5851549,way
Beukenlaan,wikidata,-,Q59779138,way
Bezettingslaan,wikidata,-,Q188686,way
Bieslookstraat,wikidata,-,Q61046162,way
"Bij de Sluis",wikidata,-,Q100323982,way
Billitonplein,wikidata,-,Q334771,way
Billitonstraat,wikidata,-,Q334771,way
Birminghamweg,wikidata,-,Q2256,way
Bleekersgang,wikidata,-,Q2560355,way
Bleekveld,wikidata,-,Q2169265,way
Blekerstraat,wikidata,-,Q2169265,way
Bloedkoraalstraat,wikidata,-,Q68429932,way
Bloemstraat,wikidata,-,Q506,way
Boeg,wikidata,-,Q301897,way
Boeiersingel,wikidata,-,Q13134872,way
Bonairestraat,wikidata,-,Q25396,way
Boraxstraat,wikidata,-,Q5319,way
Borneoplein,wikidata,-,Q36117,way
